id,date,store_nbr,family,onpromotion,sales
3000888,2017-08-16,1,0,20.0,101.2663702707561
3000889,2017-08-16,1,1,1.0,101.2663702707561
3000890,2017-08-16,1,2,8.0,101.2663702707561
3000891,2017-08-16,1,3,560.0,9384.554230550824
3000892,2017-08-16,1,4,1.0,101.2663702707561
3000893,2017-08-16,1,5,131.0,940.080276258096
3000894,2017-08-16,1,6,29.0,378.10268865097487
3000895,2017-08-16,1,7,438.0,2900.0780844218434
3000896,2017-08-16,1,8,226.0,1617.3991464760827
3000897,2017-08-16,1,9,90.0,940.080276258096
3000898,2017-08-16,1,10,41.0,378.10268865097487
3000899,2017-08-16,1,11,54.0,378.10268865097487
3000900,2017-08-16,1,12,1277.0,10041.858970414207
3000901,2017-08-16,1,13,14.0,101.2663702707561
3000902,2017-08-16,1,14,4.0,101.2663702707561
3000903,2017-08-16,1,15,75.0,940.080276258096
3000904,2017-08-16,1,16,43.0,378.10268865097487
3000905,2017-08-16,1,17,1.0,101.2663702707561
3000906,2017-08-16,1,18,105.0,940.080276258096
3000907,2017-08-16,1,19,21.0,101.2663702707561
3000908,2017-08-16,1,20,22.0,101.2663702707561
3000909,2017-08-16,1,21,20.0,101.2663702707561
3000910,2017-08-16,1,22,64.0,378.10268865097487
3000911,2017-08-16,1,23,6.0,101.2663702707561
3000912,2017-08-16,1,24,82.0,940.080276258096
3000913,2017-08-16,1,25,148.0,940.080276258096
3000914,2017-08-16,1,26,14.0,101.2663702707561
3000915,2017-08-16,1,27,17.0,101.2663702707561
3000916,2017-08-16,1,28,54.0,378.10268865097487
3000917,2017-08-16,1,29,10.0,101.2663702707561
3000918,2017-08-16,1,30,302.0,2900.0780844218434
3000919,2017-08-16,1,31,15.0,101.2663702707561
3000920,2017-08-16,1,32,8.0,101.2663702707561
3000921,2017-08-16,10,0,20.0,101.2663702707561
3000922,2017-08-16,10,1,1.0,101.2663702707561
3000923,2017-08-16,10,2,8.0,101.2663702707561
3000924,2017-08-16,10,3,560.0,9384.554230550824
3000925,2017-08-16,10,4,1.0,101.2663702707561
3000926,2017-08-16,10,5,131.0,940.080276258096
3000927,2017-08-16,10,6,29.0,378.10268865097487
3000928,2017-08-16,10,7,438.0,2900.0780844218434
3000929,2017-08-16,10,8,226.0,1617.3991464760827
3000930,2017-08-16,10,9,90.0,940.080276258096
3000931,2017-08-16,10,10,41.0,378.10268865097487
3000932,2017-08-16,10,11,54.0,378.10268865097487
3000933,2017-08-16,10,12,1277.0,10041.858970414207
3000934,2017-08-16,10,13,14.0,101.2663702707561
3000935,2017-08-16,10,14,4.0,101.2663702707561
3000936,2017-08-16,10,15,75.0,940.080276258096
3000937,2017-08-16,10,16,43.0,378.10268865097487
3000938,2017-08-16,10,17,1.0,101.2663702707561
3000939,2017-08-16,10,18,105.0,940.080276258096
3000940,2017-08-16,10,19,21.0,101.2663702707561
3000941,2017-08-16,10,20,22.0,101.2663702707561
3000942,2017-08-16,10,21,20.0,101.2663702707561
3000943,2017-08-16,10,22,64.0,378.10268865097487
3000944,2017-08-16,10,23,6.0,101.2663702707561
3000945,2017-08-16,10,24,82.0,940.080276258096
3000946,2017-08-16,10,25,148.0,940.080276258096
3000947,2017-08-16,10,26,14.0,101.2663702707561
3000948,2017-08-16,10,27,17.0,101.2663702707561
3000949,2017-08-16,10,28,54.0,378.10268865097487
3000950,2017-08-16,10,29,10.0,101.2663702707561
3000951,2017-08-16,10,30,302.0,2900.0780844218434
3000952,2017-08-16,10,31,15.0,101.2663702707561
3000953,2017-08-16,10,32,8.0,101.2663702707561
3000954,2017-08-16,11,0,20.0,101.2663702707561
3000955,2017-08-16,11,1,1.0,101.2663702707561
3000956,2017-08-16,11,2,8.0,101.2663702707561
3000957,2017-08-16,11,3,560.0,9384.554230550824
3000958,2017-08-16,11,4,1.0,101.2663702707561
3000959,2017-08-16,11,5,131.0,940.080276258096
3000960,2017-08-16,11,6,29.0,378.10268865097487
3000961,2017-08-16,11,7,438.0,2900.0780844218434
3000962,2017-08-16,11,8,226.0,1617.3991464760827
3000963,2017-08-16,11,9,90.0,940.080276258096
3000964,2017-08-16,11,10,41.0,378.10268865097487
3000965,2017-08-16,11,11,54.0,378.10268865097487
3000966,2017-08-16,11,12,1277.0,10041.858970414207
3000967,2017-08-16,11,13,14.0,101.2663702707561
3000968,2017-08-16,11,14,4.0,101.2663702707561
3000969,2017-08-16,11,15,75.0,940.080276258096
3000970,2017-08-16,11,16,43.0,378.10268865097487
